/home/zuofengrui.zfr/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
数据: 5653618 样本, 合法率验证通过
初始化: models/bc_base_50k.pt, 6.77M 参数
训练前评估: 胜率 24.2%, 场均 +0.06
  ep 1/20  dqn=0.4945  cql=0.1574  v=0.3492
  ep 2/20  dqn=0.3492  cql=0.0463  v=0.3390
  ep 3/20  dqn=0.3434  cql=0.0416  v=0.3363
  ep 4/20  dqn=0.3405  cql=0.0386  v=0.3350
  ep 5/20  dqn=0.3386  cql=0.0360  v=0.3342
  ep 6/20  dqn=0.3370  cql=0.0340  v=0.3335
  ep 7/20  dqn=0.3358  cql=0.0323  v=0.3329
  ep 8/20  dqn=0.3346  cql=0.0307  v=0.3324
  ep 9/20  dqn=0.3335  cql=0.0292  v=0.3319
  ep 10/20  dqn=0.3325  cql=0.0279  v=0.3315
  ep 11/20  dqn=0.3315  cql=0.0268  v=0.3309
  ep 12/20  dqn=0.3306  cql=0.0257  v=0.3305
  ep 13/20  dqn=0.3297  cql=0.0248  v=0.3300
  ep 14/20  dqn=0.3289  cql=0.0239  v=0.3296
  ep 15/20  dqn=0.3281  cql=0.0233  v=0.3292
  ep 16/20  dqn=0.3275  cql=0.0227  v=0.3288
  ep 17/20  dqn=0.3270  cql=0.0223  v=0.3285
  ep 18/20  dqn=0.3266  cql=0.0220  v=0.3283
  ep 19/20  dqn=0.3263  cql=0.0218  v=0.3281
  ep 20/20  dqn=0.3261  cql=0.0217  v=0.3280
训练后评估: 胜率 27.0%, 场均 +0.20
★ 优于初始化
